"name","year","rating","genre1","genre2","cast","synopsis","imdb_votes","director","awards","budget","opening_weekend","gross_world","run_time"
"Goodfellas","(1990)","8.7","Biography","Crime","Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino","
        
            The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.
    ","(1,084,492)","Martin Scorsese","
Won 1 Oscar. Another 43 wins & 38 nominations.
            ","
                    $25,000,000 (estimated)
            ","
                    $6,368,901, 21 Sep 1990
            ",NA,"
                            146 min
                        "
"Star Wars: Episode V - The Empire Strikes Back","(1980)","8.7","Action","Adventure","Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels","
        
            After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.
    ","(1,218,557)","Irvin Kershner","
Won 1 Oscar. Another 24 wins & 20 nominations.
            ","
                    $18,000,000 (estimated)
            ","
                    $10,840,307, 30 Jun 2012
            ","
                    $247,916,602
            ","
                            124 min
                        "
"Parasite","(2019)","8.6","Comedy","Drama","Kang-ho Song,Sun-kyun Lee,Yeo-jeong Cho,Woo-sik Choi,So-dam Park","
        
            Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
    ","(691,145)","Bong Joon Ho","
Won 4 Oscars. Another 303 wins & 272 nominations.
            ","
                    $269,366,141
            ",NA,NA,"
                            132 min
                        "
"Interstellar","(2014)","8.6","Adventure","Drama","Ellen Burstyn,Matthew McConaughey,Mackenzie Foy,John Lithgow,Timothée Chalamet","
        
            A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
    ","(1,652,808)","Christopher Nolan","
Won 1 Oscar. Another 43 wins & 148 nominations.
            ","
                    $165,000,000 (estimated)
            ","
                    $675,020,017
            ",NA,"
                            169 min
                        "
"Spirited Away","(2001)","8.6","Animation","Adventure","Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takashi Naitô,Yasuko Sawaguchi","
        
            During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.
    ","(705,597)","Hayao Miyazaki","
Won 1 Oscar. Another 57 wins & 31 nominations.
            ","
                    $19,000,000 (estimated)
            ","
                    $8,898,000, 29 Jul 2002
            ","
                    $274,925,095
            ","
                            125 min
                        "
"Saving Private Ryan","(1998)","8.6","Drama","War","Tom Hanks,Tom Sizemore,Edward Burns,Barry Pepper,Adam Goldberg","
        
            Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
    ","(1,308,940)","Steven Spielberg","
Won 5 Oscars. Another 74 wins & 75 nominations.
            ","
                    $70,000,000 (estimated)
            ","
                    $30,576,104, 26 Jul 1998
            ","
                    $481,840,909, 15 Jun 2012
            ","
                            169 min
                        "
"The Green Mile","(1999)","8.6","Crime","Drama","Tom Hanks,David Morse,Bonnie Hunt,Michael Clarke Duncan,James Cromwell","
        
            The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.
    ","(1,219,229)","Frank Darabont","
Nominated for 4 Oscars. Another 15 wins & 33 nominations.
            ","
                    $60,000,000 (estimated)
            ","
                    $18,017,152, 12 Dec 1999
            ","
                    $286,801,374
            ","
                            189 min
                        "
"Life Is Beautiful","(1997)","8.6","Comedy","Drama","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Sergio Bini Bustric","
        
            When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.
    ","(660,037)","Roberto Benigni","
Won 3 Oscars. Another 69 wins & 52 nominations.
            ","
                    $20,000,000 (estimated)
            ","
                    $229,163,264, 30 Jun 2012
            ",NA,"
                            116 min
                        "
"Seven","(1995)","8.6","Crime","Drama","Morgan Freeman,Andrew Kevin Walker,Daniel Zacapa,Brad Pitt,Gwyneth Paltrow","
        
            Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
    ","(1,538,529)","David Fincher","
Nominated for 1 Oscar. Another 29 wins & 42 nominations.
            ","
                    $33,000,000 (estimated)
            ","
                    $13,949,807, 24 Sep 1995
            ","
                    $327,311,859
            ","
                            127 min
                        "
"The Silence of the Lambs","(1991)","8.6","Crime","Drama","Jodie Foster,Lawrence A. Bonney,Kasi Lemmons,Lawrence T. Wrentz,Scott Glenn","
        
            A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.
    ","(1,349,023)","Jonathan Demme","
Won 5 Oscars. Another 64 wins & 51 nominations.
            ","
                    $19,000,000 (estimated)
            ","
                    $13,766,814, 15 Feb 1991
            ","
                    $272,742,922
            ","
                            118 min
                        "
"Star Wars: Episode IV - A New Hope","(1977)","8.6","Action","Adventure","Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Alec Guinness","
        
            Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.
    ","(1,290,309)","George Lucas","
Won 6 Oscars. Another 57 wins & 29 nominations.
            ","
                    $11,000,000 (estimated)
            ","
                    $35,906,661, 02 Feb 1997
            ","
                    $775,398,007, 25 Nov 2011
            ","
                            121 min
                        "
"The Departed","(2006)","8.5","Action","Crime","Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Sheen","
        
            An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
    ","(1,255,019)","Martin Scorsese","
Won 4 Oscars. Another 93 wins & 141 nominations.
            ","
                    $90,000,000 (estimated)
            ","
                    $26,887,467, 08 Oct 2006
            ","
                    $289,847,354
            ","
                            151 min
                        "
"Gladiator","(2000)","8.5","Action","Adventure","Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Richard Harris","
        
            A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
    ","(1,416,993)","Ridley Scott","
Won 5 Oscars. Another 54 wins & 106 nominations.
            ","
                    $103,000,000 (estimated)
            ","
                    $34,819,017, 07 May 2000
            ","
                    $457,640,427, 28 Feb 2012
            ","
                            155 min
                        "
"American History X","(1998)","8.5","Drama",NA,"Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Ethan Suplee","
        
            A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
    ","(1,076,387)","Tony Kaye","
Nominated for 1 Oscar. Another 4 wins & 14 nominations.
            ","
                    $7,500,000 (estimated)
            ","
                    $1,340,166, 22 Nov 1998
            ","
                    $23,875,127
            ","
                            119 min
                        "
"The Usual Suspects","(1995)","8.5","Crime","Drama","Stephen Baldwin,Gabriel Byrne,Benicio Del Toro,Kevin Pollak,Kevin Spacey","
        
            A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.
    ","(1,038,816)","Bryan Singer","
Won 2 Oscars. Another 35 wins & 17 nominations.
            ","
                    $6,000,000 (estimated)
            ","
                    $645,363, 20 Aug 1995
            ","
                    $34,449,356
            ","
                            106 min
                        "
"Leon","(1994)","8.5","Action","Crime","Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Peter Appel","
        
            12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.
    ","(1,096,171)","Luc Besson","
6 wins & 15 nominations.
            ","
                    FRF115,000,000 (estimated)
            ","
                    $45,501,238
            ",NA,"
                            110 min
                        "
"The Lion King","(1994)","8.5","Animation","Adventure","Rowan Atkinson,Matthew Broderick,Niketa Calame-Harris,Jim Cummings,Whoopi Goldberg","
        
            Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.
    ","(995,636)","Roger Allers","
Won 2 Oscars. Another 37 wins & 35 nominations.
            ","
                    $45,000,000 (estimated)
            ","
                    $40,888,194, 12 Nov 2013
            ","
                    $968,483,777
            ","
                            88 min
                        "
"Terminator 2: Judgment Day","(1991)","8.5","Action","Sci-Fi","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Earl Boen","
        
            A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.
    ","(1,044,300)","James Cameron","
Won 4 Oscars. Another 32 wins & 33 nominations.
            ","
                    $102,000,000 (estimated)
            ","
                    $31,765,506, 07 Jul 1991
            ","
                    $315,000,000
            ","
                            137 min
                        "
"Back to the Future","(1985)","8.5","Adventure","Comedy","Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Thomas F. Wilson","
        
            Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.
    ","(1,127,770)","Robert Zemeckis","
Won 1 Oscar. Another 21 wins & 25 nominations.
            ","
                    $19,000,000 (estimated)
            ","
                    $11,332,134, 07 Jul 1985
            ","
                    $381,109,762
            ","
                            116 min
                        "
"Spider-Man: Into the Spider-Verse","(2018)","8.4","Animation","Action","Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Brian Tyree Henry","
        
            Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
    ","(443,832)","Bob Persichetti","
Won 1 Oscar. Another 80 wins & 58 nominations.
            ","
                    $90,000,000 (estimated)
            ","
                    $35,363,376, 16 Dec 2018
            ","
                    $375,540,831
            ","
                            117 min
                        "
"Avengers: Endgame","(2019)","8.4","Action","Adventure","Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson","
        
            After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.
    ","(971,947)","Anthony Russo","
Nominated for 1 Oscar. Another 70 wins & 125 nominations.
            ","
                    $356,000,000 (estimated)
            ","
                    $357,115,007, 28 Apr 2019
            ","
                    $2,797,800,564
            ","
                            181 min
                        "
"Avengers: Infinity War","(2018)","8.4","Action","Adventure","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson","
        
            The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
    ","(949,682)","Anthony Russo","
Nominated for 1 Oscar. Another 46 wins & 78 nominations.
            ","
                    $321,000,000 (estimated)
            ","
                    $257,698,183, 29 Apr 2018
            ","
                    $2,048,709,917
            ","
                            149 min
                        "
"Coco","(I) (2017)","8.4","Animation","Adventure","Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach,Renee Victor","
        
            Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.
    ","(445,452)","Lee Unkrich","
Won 2 Oscars. Another 107 wins & 40 nominations.
            ","
                    $175,000,000 (estimated)
            ","
                    $50,802,605, 26 Nov 2017
            ","
                    $807,082,196
            ","
                            105 min
                        "
"Django Unchained","(2012)","8.4","Drama","Western","Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson","
        
            With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.
    ","(1,448,814)","Quentin Tarantino","
Won 2 Oscars. Another 56 wins & 158 nominations.
            ","
                    $100,000,000 (estimated)
            ","
                    $30,688,000, 30 Dec 2012
            ","
                    $425,368,238
            ","
                            165 min
                        "
"The Dark Knight Rises","(2012)","8.4","Action","Crime","Christian Bale,Gary Oldman,Tom Hardy,Joseph Gordon-Levitt,Anne Hathaway","
        
            Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.
    ","(1,597,108)","Christopher Nolan","
Nominated for 1 BAFTA Film Award. Another 38 wins & 102 nominations.
            ","
                    $250,000,000 (estimated)
            ","
                    GBP14,362,443, 22 Jul 2012
            ","
                    $1,084,939,099
            ","
                            164 min
                        "
"3 Idiots","(2009)","8.4","Comedy","Drama","Aamir Khan,Madhavan,Sharman Joshi,Kareena Kapoor,Boman Irani","
        
            Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".
    ","(373,187)","Rajkumar Hirani","
63 wins & 25 nominations.
            ","
                    INR550,000,000 (estimated)
            ","
                    INR379,600,000, 24 Dec 2009
            ","
                    $80,000,000, 07 Mar 2010
            ","
                            170 min
                        "
"WALL·E","(2008)","8.4","Animation","Adventure","Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,MacInTalk","
        
            In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.
    ","(1,054,618)","Andrew Stanton","
Won 1 Oscar. Another 93 wins & 95 nominations.
            ","
                    $180,000,000 (estimated)
            ","
                    $63,087,526, 29 Jun 2008
            ","
                    $534,767,889, 22 Mar 2009
            ","
                            98 min
                        "
"Memento","(2000)","8.4","Mystery","Thriller","Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,Russ Fega","
        
            A man with short-term memory loss attempts to track down his wife's murderer.
    ","(1,180,904)","Christopher Nolan","
Nominated for 2 Oscars. Another 57 wins & 57 nominations.
            ","
                    $9,000,000 (estimated)
            ","
                    $235,488, 18 Mar 2001
            ","
                    $39,723,096
            ","
                            113 min
                        "
"Raiders of the Lost Ark","(1981)","8.4","Action","Adventure","Harrison Ford,Karen Allen,Paul Freeman,Ronald Lacey,John Rhys-Davies","
        
            In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.
    ","(925,417)","Steven Spielberg","
Won 4 Oscars. Another 33 wins & 24 nominations.
            ","
                    $18,000,000 (estimated)
            ","
                    $1,673,731, 09 Sep 2012
            ","
                    $389,925,971
            ","
                            115 min
                        "
"The Shining","(1980)","8.4","Drama","Horror","Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,Barry Nelson","
        
            A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.
    ","(958,293)","Stanley Kubrick","
4 wins & 8 nominations.
            ","
                    $19,000,000 (estimated)
            ","
                    $17,469,946
            ",NA,"
                            146 min
                        "
"Apocalypse Now","(1979)","8.4","Drama","Mystery","Marlon Brando,Martin Sheen,Robert Duvall,Frederic Forrest,Sam Bottoms","
        
            A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
    ","(636,997)","Francis Ford Coppola","
Won 2 Oscars. Another 19 wins & 33 nominations.
            ","
                    $31,500,000 (estimated)
            ","
                    $96,992, 05 Aug 2001
            ",NA,"
                            147 min
                        "
"Alien","(1979)","8.4","Horror","Sci-Fi","Tom Skerritt,Sigourney Weaver,Veronica Cartwright,Harry Dean Stanton,John Hurt","
        
            After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.
    ","(833,771)","Ridley Scott","
Won 1 Oscar. Another 17 wins & 22 nominations.
            ","
                    $11,000,000 (estimated)
            ","
                    GBP208,081, 02 Nov 2003
            ","
                    $203,630,630
            ","
                            117 min
                        "
"1917","(2019)","8.3","Action","Drama","Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,Pip Carter","
        
            April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.
    ","(512,721)","Sam Mendes","
Won 3 Oscars. Another 131 wins & 200 nominations.
            ","
                    $100,000,000 (estimated)
            ","
                    $37,000,200, 12 Jan 2020
            ","
                    $368,027,644
            ","
                            119 min
                        "
"Inglourious Basterds","(2009)","8.3","Adventure","Drama","Brad Pitt,Mélanie Laurent,Christoph Waltz,Eli Roth,Michael Fassbender","
        
            In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.
    ","(1,352,363)","Quentin Tarantino","
Won 1 Oscar. Another 132 wins & 172 nominations.
            ","
                    $75,000,000 (estimated)
            ","
                    $38,054,676, 21 Aug 2009
            ","
                    $313,600,000
            ","
                            153 min
                        "
"Snatch","(2000)","8.3","Comedy","Crime","Ade,William Beck,Andy Beckwith,Ewen Bremner,Jason Buckham","
        
            Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.
    ","(819,869)","Guy Ritchie","
4 wins & 7 nominations.
            ","
                    GBP6,000,000 (estimated)
            ","
                    GBP3,180,002, 03 Sep 2000
            ","
                    $83,557,872
            ","
                            104 min
                        "
"Requiem for a Dream","(2000)","8.3","Drama",NA,"Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,Christopher McDonald","
        
            The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
    ","(803,109)","Darren Aronofsky","
Nominated for 1 Oscar. Another 37 wins & 69 nominations.
            ","
                    $4,500,000 (estimated)
            ","
                    $64,770, 08 Oct 2000
            ","
                    $7,390,108
            ","
                            102 min
                        "
"Good Will Hunting","(1997)","8.3","Drama","Romance","Matt Damon,Ben Affleck,Stellan Skarsgård,John Mighton,Rachel Majorowski","
        
            Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.
    ","(912,484)","Gus Van Sant","
Won 2 Oscars. Another 22 wins & 61 nominations.
            ","
                    $10,000,000 (estimated)
            ","
                    $10,261,471, 11 Jan 1998
            ","
                    $225,933,435
            ","
                            126 min
                        "
"Toy Story","(1995)","8.3","Animation","Adventure","Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn","
        
            A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
    ","(937,715)","John Lasseter","
Nominated for 3 Oscars. Another 27 wins & 20 nominations.
            ","
                    $30,000,000 (estimated)
            ","
                    $12,491,789, 04 Oct 2009
            ","
                    $373,554,033
            ","
                            81 min
                        "
"The Shawshank Redemption","(1994)","9.3","Drama",NA,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown","
        
            Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
    ","(2,504,638)","Frank Darabont","
Nominated for 7 Oscars. Another 21 wins & 36 nominations.
            ","
                    $25,000,000 (estimated)
            ","
                    $727,326, 20 Nov 1994
            ","
                    $58,500,000
            ","
                            142 min
                        "
"The Godfather","(1972)","9.2","Crime","Drama","Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Robert Duvall","
        
            The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantel to his unwilling son, Michael.
    ","(1,726,411)","Francis Ford Coppola","
Won 3 Oscars. Another 28 wins & 30 nominations.
            ","
                    $6,000,000 (estimated)
            ","
                    $223,758, 04 Apr 1997
            ","
                    $245,066,411
            ","
                            175 min
                        "
"The Dark Knight","(2008)","9.0","Action","Crime","Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal","
        
            When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.
    ","(2,454,169)","Christopher Nolan","
Won 2 Oscars. Another 157 wins & 163 nominations.
            ","
                    $185,000,000 (estimated)
            ","
                    $158,411,483, 20 Jul 2008
            ","
                    $1,004,558,444, 19 Jul 2012
            ","
                            152 min
                        "
"The Godfather: Part II","(1974)","9.0","Crime","Drama","Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,John Cazale","
        
            The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.
    ","(1,197,956)","Francis Ford Coppola","
Won 6 Oscars. Another 11 wins & 20 nominations.
            ","
                    $13,000,000 (estimated)
            ","
                    $244,000
            ",NA,"
                            202 min
                        "
"The Lord of the Rings: The Return of the King","(2003)","8.9","Action","Adventure","Noel Appleby,Ali Astin,Sean Astin,David Aston,John Bach","
        
            Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
    ","(1,730,216)","Peter Jackson","
Won 11 Oscars. Another 198 wins & 124 nominations.
            ","
                    $94,000,000 (estimated)
            ","
                    NZD2,609,992, 21 Dec 2003
            ","
                    $1,119,929,521, 25 Nov 2011
            ","
                            201 min
                        "
"Pulp Fiction","(1994)","8.9","Crime","Drama","Tim Roth,Amanda Plummer,Laura Lovelace,John Travolta,Samuel L. Jackson","
        
            The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
    ","(1,932,560)","Quentin Tarantino","
Won 1 Oscar. Another 69 wins & 75 nominations.
            ","
                    $8,000,000 (estimated)
            ","
                    $9,311,882, 14 Oct 1994
            ","
                    $213,928,762
            ","
                            154 min
                        "
